Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2022-10-31,41.577115,-81.475333,Cleveland,Ohio,Scent of old perfume noticed with no source.,Morning,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2020-11-23,28.505722,-81.466495,Orlando,Florida,Figure disappeared upon approach.,Morning,Poltergeist,
2025-09-01,39.550053,-83.022308,Columbus,Ohio,Witness captured blurry image on phone.,Dawn,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2022-03-06,43.016135,-87.816367,Milwaukee,Wisconsin,Apparition seen floating near old church grounds.,Midnight,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2021-09-27,28.224306,-81.38383,Orlando,Florida,Flickering streetlamp coincided with sighting.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2023-08-01,40.803761,-89.606674,Peoria,Illinois,Scent of old perfume noticed with no source.,Dawn,Shadow Figure,
2024-04-14,40.961313,-89.708153,Peoria,Illinois,Glowing orb photographed in backyard.,Midnight,Phantom Sounds,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2025-07-05,32.59187,-96.701687,Dallas,Texas,Apparition seen floating near old church grounds.,Night,Orbs,
2023-11-03,41.506596,-93.878849,Des Moines,Iowa,Temperature dropped suddenly by 10°F.,Evening,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2023-05-24,25.737363,-79.943241,Miami,Florida,Witness reported cold spots and flickering lights.,Night,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2025-07-12,39.891378,-83.061362,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Orbs,
2024-12-02,41.453659,-81.708016,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Night,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2024-05-13,33.789684,-86.868512,Birmingham,Alabama,Curtains moved though windows were shut.,Dawn,Phantom Sounds,
2025-07-08,29.915433,-95.323179,Houston,Texas,Phantom footsteps heard in empty hallway.,Midnight,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2025-04-16,29.238025,-98.297764,San Antonio,Texas,Flickering streetlamp coincided with sighting.,Dawn,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2024-04-16,40.398406,-82.918045,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2022-07-13,33.831069,-86.893781,Birmingham,Alabama,Disembodied voice whispered a name.,Evening,White Lady,
2022-07-08,29.750618,-95.400645,Houston,Texas,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2024-03-07,32.292649,-90.554732,Jackson,Mississippi,Local dog barking frantically before sighting.,Dawn,Shadow Figure,
2023-06-14,32.74536,-96.873951,Dallas,Texas,Glowing orb photographed in backyard.,Morning,Phantom Sounds,
2021-04-20,43.023342,-87.770823,Milwaukee,Wisconsin,Temperature dropped suddenly by 10°F.,Evening,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2022-04-21,39.752179,-86.238216,Indianapolis,Indiana,Disembodied voice whispered a name.,Dawn,Headless Spirit,
2023-11-21,32.559,-96.956597,Dallas,Texas,Local dog barking frantically before sighting.,Night,Orbs,
2021-02-13,32.255203,-90.106763,Jackson,Mississippi,Witness captured blurry image on phone.,Afternoon,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2021-12-16,28.018832,-82.151279,Tampa,Florida,Figure disappeared upon approach.,Evening,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2022-08-02,42.252112,-87.73309,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Morning,Poltergeist,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2023-12-19,29.798237,-89.881704,New Orleans,Louisiana,Witness captured blurry image on phone.,Dawn,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2022-07-26,41.552525,-87.888166,Chicago,Illinois,Figure disappeared upon approach.,Night,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2024-06-01,41.6818,-87.72742,Chicago,Illinois,Figure disappeared upon approach.,Midnight,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2025-02-10,41.638649,-93.576617,Des Moines,Iowa,Apparition matched description of local legend.,Evening,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2023-10-05,28.289184,-82.508324,Tampa,Florida,Old radio emitted static and a faint melody.,Afternoon,Orbs,
2025-02-20,30.623099,-87.859466,Mobile,Alabama,Temperature dropped suddenly by 10°F.,Dawn,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2024-06-20,30.229328,-91.190832,Baton Rouge,Louisiana,Scent of old perfume noticed with no source.,Night,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2020-11-01,30.041724,-90.273194,New Orleans,Louisiana,Phantom footsteps heard in empty hallway.,Night,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2021-11-25,41.899475,-87.982253,Chicago,Illinois,Curtains moved though windows were shut.,Morning,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2022-03-01,32.959461,-96.832482,Dallas,Texas,Witness reported cold spots and flickering lights.,Midnight,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2022-07-14,40.582892,-89.592084,Peoria,Illinois,Electronic devices malfunctioned during sighting.,Night,Shadow Figure,
2021-11-23,38.690275,-90.059536,St. Louis,Missouri,Apparition seen floating near old church grounds.,Evening,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2024-08-25,29.702743,-89.832362,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Afternoon,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2024-08-11,41.682762,-93.372369,Des Moines,Iowa,Flickering streetlamp coincided with sighting.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2024-05-11,41.904836,-87.50012,Chicago,Illinois,Temperature dropped suddenly by 10°F.,Midnight,Orbs,
2025-02-09,36.274461,-115.16215,Las Vegas,Nevada,Old radio emitted static and a faint melody.,Midnight,Phantom Sounds,
2025-05-04,38.631652,-90.014964,St. Louis,Missouri,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2020-11-24,30.664926,-98.251985,Austin,Texas,Figure disappeared upon approach.,Morning,Phantom Sounds,
2021-09-20,43.20517,-88.111272,Milwaukee,Wisconsin,Old radio emitted static and a faint melody.,Midnight,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2021-08-30,36.475921,-115.08288,Las Vegas,Nevada,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,
2021-09-18,43.069108,-88.25548,Milwaukee,Wisconsin,Curtains moved though windows were shut.,Midnight,Headless Spirit,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2020-12-25,29.443735,-98.587698,San Antonio,Texas,Disembodied voice whispered a name.,Midnight,Phantom Sounds,
2023-10-30,28.674279,-81.101979,Orlando,Florida,Phantom footsteps heard in empty hallway.,Afternoon,Phantom Sounds,
2025-04-26,41.468153,-95.737617,Omaha,Nebraska,Witness captured blurry image on phone.,Dawn,Orbs,
2023-11-17,29.799951,-89.805723,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Night,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2024-11-25,41.246431,-81.922081,Cleveland,Ohio,Local dog barking frantically before sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2024-01-05,39.505801,-86.302234,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Afternoon,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2024-11-12,29.362139,-98.794731,San Antonio,Texas,Electronic devices malfunctioned during sighting.,Dawn,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2024-06-15,40.781613,-89.730857,Peoria,Illinois,Witness reported cold spots and flickering lights.,Afternoon,White Lady,
2022-11-18,40.217662,-82.973383,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2022-06-10,41.384013,-95.964209,Omaha,Nebraska,Scent of old perfume noticed with no source.,Midnight,Full-Body Apparition,
2024-10-13,29.89812,-95.548817,Houston,Texas,Scent of old perfume noticed with no source.,Midnight,Orbs,
2023-10-24,40.203308,-86.107366,Indianapolis,Indiana,Glowing orb photographed in backyard.,Evening,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2025-01-23,41.273456,-81.939551,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Full-Body Apparition,
2021-01-08,30.262255,-95.723051,Houston,Texas,Electronic devices malfunctioned during sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2025-03-06,29.85788,-90.251466,New Orleans,Louisiana,Flickering streetlamp coincided with sighting.,Midnight,Shadow Figure,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2025-04-15,41.690809,-82.062604,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Orbs,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2024-09-15,29.765767,-95.184499,Houston,Texas,Electronic devices malfunctioned during sighting.,Dawn,Phantom Sounds,
2022-04-26,41.46492,-81.915222,Cleveland,Ohio,Disembodied voice whispered a name.,Midnight,Full-Body Apparition,
2024-12-27,40.672571,-89.852947,Peoria,Illinois,Local dog barking frantically before sighting.,Evening,Shadow Figure,
2023-02-17,39.666339,-86.237392,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Midnight,Phantom Sounds,
2023-04-03,42.154498,-87.446334,Chicago,Illinois,Apparition seen floating near old church grounds.,Night,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2022-07-17,40.761754,-89.186931,Peoria,Illinois,Witness reported cold spots and flickering lights.,Midnight,Orbs,
2022-02-16,27.932336,-82.565517,Tampa,Florida,Glowing orb photographed in backyard.,Midnight,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2023-06-14,29.561162,-98.501281,San Antonio,Texas,Apparition matched description of local legend.,Evening,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2022-02-11,29.207817,-98.504986,San Antonio,Texas,Disembodied voice whispered a name.,Evening,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2024-01-01,29.723805,-95.106731,Houston,Texas,Temperature dropped suddenly by 10°F.,Night,Shadow Figure,
2022-11-16,39.660438,-104.982291,Denver,Colorado,Witness captured blurry image on phone.,Night,Poltergeist,
2020-11-24,39.731031,-86.25059,Indianapolis,Indiana,Witness captured blurry image on phone.,Evening,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2024-06-07,30.282199,-97.696166,Austin,Texas,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2022-04-25,39.556931,-82.904614,Columbus,Ohio,Glowing orb photographed in backyard.,Midnight,Headless Spirit,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2024-10-08,39.800707,-86.048114,Indianapolis,Indiana,Scent of old perfume noticed with no source.,Afternoon,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2022-01-25,29.913234,-98.650241,San Antonio,Texas,Apparition matched description of local legend.,Night,Phantom Sounds,
2020-12-06,30.043985,-90.119625,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Evening,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2023-12-19,40.644203,-90.031019,Peoria,Illinois,Witness captured blurry image on phone.,Evening,Orbs,
2025-06-03,30.187516,-95.352257,Houston,Texas,Figure disappeared upon approach.,Evening,Headless Spirit,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2021-10-13,28.542121,-81.419649,Orlando,Florida,Glowing orb photographed in backyard.,Afternoon,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2023-05-03,29.970655,-90.111038,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Night,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-11-29,29.819124,-95.164019,Houston,Texas,Witness captured blurry image on phone.,Evening,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2021-09-08,41.83107,-87.506757,Chicago,Illinois,Apparition matched description of local legend.,Night,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2023-01-01,28.38806,-81.794296,Orlando,Florida,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2024-03-08,32.880143,-96.705901,Dallas,Texas,Local dog barking frantically before sighting.,Evening,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2025-04-26,32.115872,-90.146106,Jackson,Mississippi,Flickering streetlamp coincided with sighting.,Dawn,Orbs,
2022-08-01,25.662241,-80.261698,Miami,Florida,Apparition seen floating near old church grounds.,Night,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2022-10-03,38.64386,-90.467436,St. Louis,Missouri,Scent of old perfume noticed with no source.,Evening,Headless Spirit,
2021-08-03,41.974162,-87.765941,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2023-02-24,45.018518,-93.133929,Minneapolis,Minnesota,Flickering streetlamp coincided with sighting.,Evening,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2025-08-08,30.24636,-97.318071,Austin,Texas,Phantom footsteps heard in empty hallway.,Morning,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2021-01-25,43.150106,-88.320407,Milwaukee,Wisconsin,Local dog barking frantically before sighting.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2022-11-27,41.523081,-93.589528,Des Moines,Iowa,Scent of old perfume noticed with no source.,Evening,Phantom Sounds,
2021-08-12,29.532529,-95.503163,Houston,Texas,Apparition seen floating near old church grounds.,Midnight,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2020-12-26,39.581121,-105.03188,Denver,Colorado,Scent of old perfume noticed with no source.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2025-04-28,32.195558,-90.3533,Jackson,Mississippi,Old radio emitted static and a faint melody.,Dawn,Orbs,
2021-08-03,28.18413,-81.251807,Orlando,Florida,Phantom footsteps heard in empty hallway.,Dawn,Full-Body Apparition,
2021-05-09,41.613348,-87.811607,Chicago,Illinois,Electronic devices malfunctioned during sighting.,Dawn,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2022-03-27,30.306202,-89.042258,Gulfport,Mississippi,Scent of old perfume noticed with no source.,Night,Shadow Figure,
2024-06-25,41.752993,-87.547025,Chicago,Illinois,Apparition matched description of local legend.,Dawn,Phantom Sounds,
2021-02-15,38.558414,-90.326192,St. Louis,Missouri,Apparition matched description of local legend.,Evening,Headless Spirit,
2024-01-02,27.969733,-82.40363,Tampa,Florida,Phantom footsteps heard in empty hallway.,Morning,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2025-05-06,29.781068,-95.496933,Houston,Texas,Flickering streetlamp coincided with sighting.,Evening,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2024-03-18,29.393193,-98.390864,San Antonio,Texas,Glowing orb photographed in backyard.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2025-01-15,38.782652,-90.392144,St. Louis,Missouri,Scent of old perfume noticed with no source.,Night,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2025-06-16,45.090359,-93.472313,Minneapolis,Minnesota,Witness captured blurry image on phone.,Night,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2024-10-01,39.689968,-86.223053,Indianapolis,Indiana,Local dog barking frantically before sighting.,Midnight,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2022-12-28,29.762293,-95.422312,Houston,Texas,Electronic devices malfunctioned during sighting.,Midnight,Full-Body Apparition,
2025-03-23,29.844469,-89.998852,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2025-09-10,41.484221,-95.677453,Omaha,Nebraska,Figure disappeared upon approach.,Night,Orbs,
2021-01-15,33.919248,-118.035969,Los Angeles,California,Apparition seen floating near old church grounds.,Night,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2022-02-14,29.461945,-98.49368,San Antonio,Texas,Old radio emitted static and a faint melody.,Night,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2025-06-24,41.829028,-88.141908,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Afternoon,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2023-02-05,29.711217,-95.376459,Houston,Texas,Old radio emitted static and a faint melody.,Morning,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2023-08-25,32.865163,-96.914329,Dallas,Texas,Apparition matched description of local legend.,Night,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2024-11-18,39.818076,-86.031969,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Dawn,Poltergeist,
2024-08-03,41.591861,-93.653938,Des Moines,Iowa,Disembodied voice whispered a name.,Night,Headless Spirit,
2025-08-03,41.555586,-93.665145,Des Moines,Iowa,Flickering streetlamp coincided with sighting.,Morning,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2023-08-14,41.901902,-87.649094,Chicago,Illinois,Old radio emitted static and a faint melody.,Midnight,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2024-06-25,29.827855,-95.313259,Houston,Texas,Apparition seen floating near old church grounds.,Night,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2022-09-21,40.511638,-89.534458,Peoria,Illinois,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,
2024-04-16,33.084076,-96.795342,Dallas,Texas,Phantom footsteps heard in empty hallway.,Evening,Headless Spirit,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2022-12-20,29.700727,-95.49197,Houston,Texas,Electronic devices malfunctioned during sighting.,Midnight,Poltergeist,
2024-06-20,41.136059,-88.969075,Peoria,Illinois,Temperature dropped suddenly by 10°F.,Morning,Headless Spirit,
2024-05-01,40.643422,-89.267391,Peoria,Illinois,Glowing orb photographed in backyard.,Evening,Poltergeist,
2021-12-26,29.720328,-89.57696,New Orleans,Louisiana,Apparition matched description of local legend.,Midnight,White Lady,
2023-05-14,32.782649,-96.910672,Dallas,Texas,Flickering streetlamp coincided with sighting.,Dawn,Poltergeist,
2022-03-10,32.774605,-96.989155,Dallas,Texas,Witness reported cold spots and flickering lights.,Afternoon,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2024-10-28,42.348088,-87.492389,Chicago,Illinois,Figure disappeared upon approach.,Evening,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2020-11-09,29.833154,-95.474167,Houston,Texas,Scent of old perfume noticed with no source.,Midnight,Orbs,
2023-04-08,44.910469,-93.236171,Minneapolis,Minnesota,Apparition seen floating near old church grounds.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2024-09-08,29.641743,-98.623129,San Antonio,Texas,Disembodied voice whispered a name.,Evening,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2020-12-06,33.401396,-86.770815,Birmingham,Alabama,Flickering streetlamp coincided with sighting.,Midnight,Full-Body Apparition,
2022-09-08,41.841498,-87.605338,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Morning,Poltergeist,
2025-01-09,39.842752,-104.863399,Denver,Colorado,Scent of old perfume noticed with no source.,Evening,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2020-11-14,45.089741,-93.28065,Minneapolis,Minnesota,Local dog barking frantically before sighting.,Afternoon,Orbs,
2024-06-27,25.937347,-79.651378,Miami,Florida,Old radio emitted static and a faint melody.,Morning,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2022-07-30,29.641621,-90.129395,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Midnight,White Lady,
2022-10-03,41.750915,-87.430195,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Evening,Poltergeist,
2024-06-18,40.575607,-89.76531,Peoria,Illinois,Scent of old perfume noticed with no source.,Dawn,Poltergeist,
2025-06-16,29.599051,-95.273646,Houston,Texas,Figure disappeared upon approach.,Evening,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2024-12-20,30.854368,-88.18565,Mobile,Alabama,Electronic devices malfunctioned during sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2021-08-14,41.658728,-87.73746,Chicago,Illinois,Apparition matched description of local legend.,Midnight,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2024-10-31,42.009322,-87.415934,Chicago,Illinois,Old radio emitted static and a faint melody.,Afternoon,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2024-05-03,28.22251,-81.178658,Orlando,Florida,Scent of old perfume noticed with no source.,Evening,Shadow Figure,
2021-08-30,41.615271,-81.50617,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2023-11-24,39.858904,-86.011302,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,
2023-02-03,30.064413,-95.106475,Houston,Texas,Glowing orb photographed in backyard.,Dawn,Orbs,
2024-11-14,39.841694,-83.04015,Columbus,Ohio,Apparition seen floating near old church grounds.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2025-02-05,33.379078,-86.656192,Birmingham,Alabama,Temperature dropped suddenly by 10°F.,Night,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2021-06-24,32.603763,-97.330524,Dallas,Texas,Disembodied voice whispered a name.,Afternoon,White Lady,
2023-09-13,40.402526,-89.880329,Peoria,Illinois,Glowing orb photographed in backyard.,Dawn,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2020-11-18,25.535306,-80.057027,Miami,Florida,Old radio emitted static and a faint melody.,Evening,Phantom Sounds,
2023-11-21,30.163953,-90.239057,New Orleans,Louisiana,Figure disappeared upon approach.,Dawn,Phantom Sounds,
2021-03-19,41.571418,-81.639,Cleveland,Ohio,Witness captured blurry image on phone.,Afternoon,White Lady,
2021-05-09,29.566094,-95.270876,Houston,Texas,Scent of old perfume noticed with no source.,Dawn,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2021-12-27,29.528002,-95.104846,Houston,Texas,Figure disappeared upon approach.,Morning,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2025-01-27,41.032834,-89.721822,Peoria,Illinois,Old radio emitted static and a faint melody.,Afternoon,Full-Body Apparition,
2023-07-11,33.009479,-96.988247,Dallas,Texas,Electronic devices malfunctioned during sighting.,Dawn,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2022-10-20,38.767886,-90.440431,St. Louis,Missouri,Witness reported cold spots and flickering lights.,Night,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2025-08-03,28.60773,-81.829852,Orlando,Florida,Glowing orb photographed in backyard.,Midnight,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2021-03-27,42.208049,-87.312898,Chicago,Illinois,Witness reported cold spots and flickering lights.,Dawn,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
